"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"24824","Yes","29 June 2016 - 9:48am EDT","29 June 2016 - 12:16pm EDT","http://usfsc.grscicoll.org/institution/doinps-cape-cod-national-seashore","DOI/NPS, Cape Cod National Seashore",,"No","CACO",,,"www.nps.gov/caco",,,,"http://usfsc.grscicoll.org/cool/sgcf-ijz6","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","99 Marconi Site Road",,,"Wellfleet","MA","02667","USA",,,,,,,,,,"24642",,,,,
"24825","Yes","29 June 2016 - 9:50am EDT","29 June 2016 - 12:15pm EDT","http://usfsc.grscicoll.org/institution/doinps-cedar-creek-belle-grove-national-historical-park","DOI/NPS, Cedar Creek & Belle Grove National Historical Park",,"No","CEBE",,,"www.nps.gov/cebe",,,,"http://usfsc.grscicoll.org/cool/d9ye-s2jb","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","PO Box 700",,,"Middletown","VA","22655","USA",,,,,,,,,,"24642",,,,,
"24826","Yes","29 June 2016 - 9:59am EDT","29 June 2016 - 12:15pm EDT","http://usfsc.grscicoll.org/institution/doinps-colonial-national-historical-park","DOI/NPS, Colonial National Historical Park",,"No","COLO",,,"www.nps.gov/colo",,,,"http://usfsc.grscicoll.org/cool/h9gj-k17c","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","PO Box 210",,,"Yorktown","VA","23690","USA",,,,,,,,,,"24642",,,,,
"24827","Yes","29 June 2016 - 10:00am EDT","29 June 2016 - 12:15pm EDT","http://usfsc.grscicoll.org/institution/doinps-delaware-water-gap-national-recreation-area","DOI/NPS, Delaware Water Gap National Recreation Area",,"No","DEWA",,,"www.nps.gov/dewa",,,,"http://usfsc.grscicoll.org/cool/0p3a-8bp2","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","1978 River Road",,,"Bushkill","PA","18324","USA",,,,,,,,,,"24642",,,,,
"24828","Yes","29 June 2016 - 10:06am EDT","29 June 2016 - 12:14pm EDT","http://usfsc.grscicoll.org/institution/doinps-thomas-edison-national-historical-park","DOI/NPS, Thomas Edison National Historical Park",,"No","EDIS",,,"www.nps.gov/edis",,,,"http://usfsc.grscicoll.org/cool/agd4-i9v5","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","211 Main Street",,,"West Orange","NJ","07052","USA",,,,,,,,,,"24642",,,,,
"24829","Yes","29 June 2016 - 10:10am EDT","29 June 2016 - 12:14pm EDT","http://usfsc.grscicoll.org/institution/doinps-eisenhower-national-historic-site","DOI/NPS, Eisenhower National Historic Site",,"No","EISE",,,"www.nps.gov/eise",,,,"http://usfsc.grscicoll.org/cool/itr9-ccdh","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","1195 Baltimore Street",,,"Gettysburg","PA","17325","USA",,,,,,,,,,"24642",,,,,
"24830","Yes","29 June 2016 - 10:16am EDT","13 July 2016 - 11:30am EDT","http://usfsc.grscicoll.org/institution/doinps-home-franklin-d-roosevelt-national-historic-site","DOI/NPS, Home of Franklin D. Roosevelt National Historic Site",,"No","HOFR",,,"www.nps.gov/hofr",,,,"http://usfsc.grscicoll.org/cool/ayfc-k99f","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","4097 Albany Post Road",,,"Hyde Park","NY","12538","USA",,,,,,,,,,"24642",,,,,
"24831","Yes","29 June 2016 - 10:16am EDT","29 June 2016 - 12:08pm EDT","http://usfsc.grscicoll.org/institution/doinps-eleanor-roosevelt-national-historic-site","DOI/NPS, Eleanor Roosevelt National Historic Site",,"No","ELRO",,,"www.nps.gov/elro",,,,"http://usfsc.grscicoll.org/cool/yskd-mvjh","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","4097 Albany Post Road",,,"Hyde Park","NY","12538","USA",,,,,,,,,,"24642",,,,,
"24832","Yes","29 June 2016 - 11:11am EDT","29 June 2016 - 12:08pm EDT","http://usfsc.grscicoll.org/institution/doinps-federal-hall-national-monument","DOI/NPS, Federal Hall National Monument",,"No","FEHA",,,"www.nps.gov/feha",,,,"http://usfsc.grscicoll.org/cool/15fx-s7h9","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","23 Wall Street",,,"New York","NY","10005","USA",,,,,,,,,,"24642",,,,,
"24833","Yes","29 June 2016 - 11:13am EDT","29 June 2016 - 12:07pm EDT","http://usfsc.grscicoll.org/institution/doinps-fire-island-national-seashore","DOI/NPS, Fire Island National Seashore",,"No","FIIS",,,"www.nps.gov/fiis",,,,"http://usfsc.grscicoll.org/cool/fydw-h9vz","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","120 Laurel Street",,,"Patchogue","NY","11772","USA",,,,,,,,,,"24642",,,,,
"24834","Yes","29 June 2016 - 11:24am EDT","29 June 2016 - 12:06pm EDT","http://usfsc.grscicoll.org/institution/doinps-flight-93-national-memorial","DOI/NPS, Flight 93 National Memorial",,"No","FLNI",,,"www.nps.gov/flni",,,,"http://usfsc.grscicoll.org/cool/3rpq-rs1v","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","PO Box 911",,,"Shanksville","PA","15560","USA",,,,,,,,,,"24642",,,,,
"24835","Yes","29 June 2016 - 11:30am EDT","29 June 2016 - 12:05pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-mchenry-national-monument-and-historic-shrine","DOI/NPS, Fort McHenry National Monument and Historic Shrine",,"No","FOMC",,,"www.nps.gov/fomc",,,,"http://usfsc.grscicoll.org/cool/1m8b-jxwv","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","2400 East Fort Avenue",,,"Baltimore","MD","21230","USA",,,,,,,,,,"24642",,,,,
"24836","Yes","29 June 2016 - 11:32am EDT","29 June 2016 - 12:06pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-necessity-national-battlefield","DOI/NPS, Fort Necessity National Battlefield",,"No","FONE",,,"www.nps.gov/fone",,,,"http://usfsc.grscicoll.org/cool/i7iz-wgxy","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","1 Washington Parkway",,,"Farmington","PA","15437","USA",,,,,,,,,,"24642",,,,,
"24837","Yes","29 June 2016 - 11:38am EDT","29 June 2016 - 12:05pm EDT","http://usfsc.grscicoll.org/institution/doinps-fort-stanwix-national-monument","DOI/NPS, Fort Stanwix National Monument",,"No","FOST",,,"www.nps.gov/fost",,,,"http://usfsc.grscicoll.org/cool/fz83-fb03","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","112 East Park Street",,,"Rome","NY","13440","USA",,,,,,,,,,"24642",,,,,
"24838","Yes","29 June 2016 - 2:51pm EDT","29 June 2016 - 5:21pm EDT","http://usfsc.grscicoll.org/institution/doinps-friendship-hill-national-historic-site","DOI/NPS, Friendship Hill National Historic Site",,"No","FRHI",,,"www.nps.gov/frhi",,,,"http://usfsc.grscicoll.org/cool/wmnk-tebg","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","c/o Fort Necessity NB","1 Washington Parkway",,"Farmington","PA","15437","USA",,,,,,,,,,"24642",,,,,
"24839","Yes","29 June 2016 - 3:23pm EDT","8 July 2016 - 3:43pm EDT","http://usfsc.grscicoll.org/institution/doinps-frederick-law-olmsted-national-historic-site","DOI/NPS, Frederick Law Olmsted National Historic Site",,"No","FRLA",,,"www.nps.gov/frla",,,,"http://usfsc.grscicoll.org/cool/9s13-i863","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","99 Warren Street",,,"Brookline","MA","02445","USA",,,,,,,,,,"24642",,,,,
"24840","Yes","29 June 2016 - 3:25pm EDT","29 June 2016 - 5:20pm EDT","http://usfsc.grscicoll.org/institution/doinps-fredericksburg-spotsylvania-national-military-park","DOI/NPS, Fredericksburg & Spotsylvania National Military Park",,"No","FRSP",,,"www.nps.gov/frsp",,,,"http://usfsc.grscicoll.org/cool/14be-zrr7","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","120 Chatham Lane",,,"Fredericksburg","VA","22405","USA",,,,,,,,,,"24642",,,,,
"24841","Yes","29 June 2016 - 3:27pm EDT","29 June 2016 - 5:20pm EDT","http://usfsc.grscicoll.org/institution/doinps-general-grant-national-memorial","DOI/NPS, General Grant National Memorial",,"No","GEGR",,,"www.nps.gov/gegr",,,,"http://usfsc.grscicoll.org/cool/78ew-mh6k","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","122nd Street and Riverside Drive",,,"New York","NY","10027","USA",,,,,,,,,,"24642",,,,,
"24842","Yes","29 June 2016 - 3:29pm EDT","29 June 2016 - 5:20pm EDT","http://usfsc.grscicoll.org/institution/doinps-gettysburg-national-military-park","DOI/NPS, Gettysburg National Military Park",,"No","GETT",,,"www.nps.gov/gett",,,,"http://usfsc.grscicoll.org/cool/cjev-wzmk","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","1195 Baltimore Street",,,"Gettysburg","PA","17325","USA",,,,,,,,,,"24642",,,,,
"24843","Yes","29 June 2016 - 3:31pm EDT","29 June 2016 - 5:19pm EDT","http://usfsc.grscicoll.org/institution/doinps-george-washington-birthplace-national-monument","DOI/NPS, George Washington Birthplace National Monument",,"No","GEWA",,,"www.nps.gov/gewa",,,,"http://usfsc.grscicoll.org/cool/1arg-8b2c","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","1732 Popes Creek Road",,,"Colonial Beach","VA","22443","USA",,,,,,,,,,"24642",,,,,
"24844","Yes","29 June 2016 - 3:33pm EDT","29 June 2016 - 5:19pm EDT","http://usfsc.grscicoll.org/institution/doinps-governors-island-national-monument","DOI/NPS, Governors Island National Monument",,"No","GOIS",,,"www.nps.gov/gois",,,,"http://usfsc.grscicoll.org/cool/cctz-798p","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","10 South Street",,,"New York","NY","10004","USA",,,,,,,,,,"24642",,,,,
"24845","Yes","29 June 2016 - 3:36pm EDT","29 June 2016 - 5:19pm EDT","http://usfsc.grscicoll.org/institution/doinps-hamilton-grange-national-memorial","DOI/NPS, Hamilton Grange National Memorial",,"No","HAGR",,,"www.nps.gov/hagr",,,,"http://usfsc.grscicoll.org/cool/894b-1d6h","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","414 West 141st Street",,,"New York","NY","10031","USA",,,,,,,,,,"24642",,,,,
"24846","Yes","29 June 2016 - 3:40pm EDT","29 June 2016 - 5:19pm EDT","http://usfsc.grscicoll.org/institution/doinps-hampton-national-historic-site","DOI/NPS, Hampton National Historic Site",,"No","HAMP",,,"www.nps.gov/hamp",,,,"http://usfsc.grscicoll.org/cool/s191-f6cm","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","535 Hampton Lane",,,"Towson","MD","21286","USA",,,,,,,,,,"24642",,,,,
"24847","Yes","29 June 2016 - 4:24pm EDT","29 June 2016 - 5:18pm EDT","http://usfsc.grscicoll.org/institution/doinps-hopewell-furnace-national-historic-site","DOI/NPS Hopewell Furnace National Historic Site",,"No","HOFU",,,"www.nps.gov/hofu",,,,"http://usfsc.grscicoll.org/cool/m3rf-q4ei","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","2 Mark Bird Lane",,,"Elverson","PA","19520","USA",,,,,,,,,,"24642",,,,,
"24848","Yes","29 June 2016 - 4:26pm EDT","29 June 2016 - 5:18pm EDT","http://usfsc.grscicoll.org/institution/doinps-independence-national-historical-park","DOI/NPS, Independence National Historical Park",,"No","INDE",,,"www.nps.gov/inde",,,,"http://usfsc.grscicoll.org/cool/28vw-1wbt","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","143 S. 3rd Street",,,"Philadelphia","PA","19106","USA",,,,,,,,,,"24642",,,,,
"24849","Yes","29 June 2016 - 4:29pm EDT","29 June 2016 - 5:18pm EDT","http://usfsc.grscicoll.org/institution/doinps-john-fitzgerald-kennedy-national-historic-site","DOI/NPS, John Fitzgerald Kennedy National Historic Site",,"No","JOFI",,,"www.nps.gov/jofi",,,,"http://usfsc.grscicoll.org/cool/dwcr-raq4","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","83 Beals Street",,,"Brookline","MA","02446","USA",,,,,,,,,,"24642",,,,,
"24850","Yes","29 June 2016 - 4:31pm EDT","29 June 2016 - 5:17pm EDT","http://usfsc.grscicoll.org/institution/doinps-longfellow-house-washingtons-headquarters-national-historic-site","DOI/NPS, Longfellow House - Washington's Headquarters National Historic Site",,"No","LONG",,,"www.nps.gov/long",,,,"http://usfsc.grscicoll.org/cool/c4zc-ysbp","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","105 Brattle Street",,,"Cambridge","MA","02138","USA",,,,,,,,,,"24642",,,,,
"24851","Yes","29 June 2016 - 4:32pm EDT","29 June 2016 - 5:17pm EDT","http://usfsc.grscicoll.org/institution/doinps-lowell-national-historical-park","DOI/NPS, Lowell National Historical Park",,"No","LOWE",,,"www.nps.gov/lowe",,,,"http://usfsc.grscicoll.org/cool/t3ax-pty5","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","67 Kirk Street",,,"Lowell","MA","01852","USA",,,,,,,,,,"24642",,,,,
"24852","Yes","29 June 2016 - 4:34pm EDT","29 June 2016 - 5:17pm EDT","http://usfsc.grscicoll.org/institution/doinps-marsh-billings-national-historical-park","DOI/NPS, Marsh-Billings National Historical Park",,"No","MABI",,,"www.nps.gov/mabi",,,,"http://usfsc.grscicoll.org/cool/15fk-s1hr","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","54 Elm Street",,,"Woodstock","VT","05091","USA",,,,,,,,,,"24642",,,,,
"24853","Yes","29 June 2016 - 4:43pm EDT","29 June 2016 - 5:16pm EDT","http://usfsc.grscicoll.org/institution/doinps-martin-van-buren-national-historic-site","DOI/NPS, Martin Van Buren National Historic Site",,"No","MAVA",,,"www.nps.gov/mava",,,,"http://usfsc.grscicoll.org/cool/0smz-gcrf","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","Martin Van Buren NHS","1013 Old Post Road",,"Kinderhook","NY","12106","USA",,,,,,,,,,"24642",,,,,
"24854","Yes","29 June 2016 - 4:45pm EDT","29 June 2016 - 5:16pm EDT","http://usfsc.grscicoll.org/institution/doinps-maggie-l-walker-national-historic-site","DOI/NPS, Maggie L. Walker National Historic Site",,"No","MAWA",,,"www.nps.gov/mawa",,,,"http://usfsc.grscicoll.org/cool/26qa-3dtq","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","3215 E. Broad Street",,,"Richmond","VA","23223","USA",,,,,,,,,,"24642",,,,,
"24855","Yes","29 June 2016 - 4:48pm EDT","29 June 2016 - 5:16pm EDT","http://usfsc.grscicoll.org/institution/doinps-minute-man-national-historical-park","DOI/NPS, Minute Man National Historical Park",,"No","MIMA",,,"www.nps.gomv/mima",,,,"http://usfsc.grscicoll.org/cool/izs4-y8gx","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","174 Liberty Street",,,"Concord","MA","01742","USA",,,,,,,,,,"24642",,,,,
"24856","Yes","29 June 2016 - 4:50pm EDT","29 June 2016 - 5:16pm EDT","http://usfsc.grscicoll.org/institution/doinps-morristown-national-historical-park","DOI/NPS, Morristown National Historical Park",,"No","MORR",,,"www.nps.gov/morr",,,,"http://usfsc.grscicoll.org/cool/y8f0-kxpm","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","30 Washington Place",,,"Morristown","NJ","07960","USA",,,,,,,,,,"24642",,,,,
"24857","Yes","29 June 2016 - 4:54pm EDT","29 June 2016 - 5:15pm EDT","http://usfsc.grscicoll.org/institution/doinps-new-bedford-whaling-national-historical-park","DOI/NPS, New Bedford Whaling National Historical Park",,"No","NEBE",,,"www.nps.gov/nebe",,,,"http://usfsc.grscicoll.org/cool/d9sc-1kqa","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","33 William Street",,,"New Bedford","MA","02740","USA",,,,,,,,,,"24642",,,,,
"24859","Yes","30 June 2016 - 9:28am EDT","30 June 2016 - 12:40pm EDT","http://usfsc.grscicoll.org/institution/doinps-new-river-gorge-national-river","DOI/NPS, New River Gorge National River",,"No","NERI",,,"www.nps.gov/neri",,,,"http://usfsc.grscicoll.org/cool/cxkv-jeyh","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","PO Box 246","104 Main Street",,"Glen Jean","WV","25846","USA",,,,,,,,,,"24642",,,,,
"24860","Yes","30 June 2016 - 9:41am EDT","30 June 2016 - 12:40pm EDT","http://usfsc.grscicoll.org/institution/doinps-petersburg-national-battlefield","DOI/NPS, Petersburg National Battlefield",,"No","PETE",,,"www.nps.gov/pete",,,,"http://usfsc.grscicoll.org/cool/nq0d-d460","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","1539 Hickory Hill Road",,,"Petersburg","VA","23803","USA",,,,,,,,,,"24642",,,,,
"24861","Yes","30 June 2016 - 9:45am EDT","30 June 2016 - 12:40pm EDT","http://usfsc.grscicoll.org/institution/doinps-richmond-national-battlefield-park","DOI/NPS, Richmond National Battlefield Park",,"No","RICH",,,"www.nps.gov/rich",,,,"http://usfsc.grscicoll.org/cool/nfft-kpzg","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","3215 E Broad Street",,,"Richmond","VA","23223","USA",,,,,,,,,,"24642",,,,,
"24862","Yes","30 June 2016 - 9:47am EDT","30 June 2016 - 12:39pm EDT","http://usfsc.grscicoll.org/institution/doinps-roger-williams-national-memorial","DOI/NPS, Roger Williams National Memorial",,"No","ROWI",,,"www.nps.gov/rowi",,,,"http://usfsc.grscicoll.org/cool/4pn8-1rne","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","282 North Main Street",,,"Providence","RI","02903","USA",,,,,,,,,,"24642",,,,,
"24863","Yes","30 June 2016 - 9:48am EDT","30 June 2016 - 12:39pm EDT","http://usfsc.grscicoll.org/institution/doinps-saint-croix-island-international-historic-site","DOI/NPS, Saint Croix Island International Historic Site",,"No","SACR",,,"www.nps.gov/sacr",,,,"http://usfsc.grscicoll.org/cool/g59e-rts8","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","PO Box 247",,,"Calais","ME","04619","USA",,,,,,,,,,"24642",,,,,
"24864","Yes","30 June 2016 - 9:52am EDT","30 June 2016 - 12:39pm EDT","http://usfsc.grscicoll.org/institution/doinps-saint-gaudens-national-historic-site","DOI/NPS, Saint-Gaudens National Historic Site",,"No","SAGA",,,"www.nps.gov/saga",,,,"http://usfsc.grscicoll.org/cool/pwwc-aj61","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","139 Saint Gaudens Road",,,"Cornish","NH","03745","USA",,,,,,,,,,"24642",,,,,
"24865","Yes","30 June 2016 - 9:53am EDT","30 June 2016 - 12:38pm EDT","http://usfsc.grscicoll.org/institution/doinps-sagamore-hill-national-historic-site","DOI/NPS, Sagamore Hill National Historic Site",,"No","SAHI",,,"www.nps.gov/sahi",,,,"http://usfsc.grscicoll.org/cool/yjir-fe6v","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","20 Sagamore Hill Road",,,"Oyster Bay","NY","11771","USA",,,,,,,,,,"24642",,,,,
"24866","Yes","30 June 2016 - 10:01am EDT","30 June 2016 - 12:37pm EDT","http://usfsc.grscicoll.org/institution/doinps-saugus-iron-works-national-historic-site","DOI/NPS, Saugus Iron Works National Historic Site",,"No","SAIR",,,"www.nps.gov/sair",,,,"http://usfsc.grscicoll.org/cool/75tq-jp74","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","244 Central Street",,,"Saugus","MA","01906","USA",,,,,,,,,,"24642",,,,,
"24867","Yes","30 June 2016 - 10:09am EDT","30 June 2016 - 12:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-gateway-national-recreation-area","DOI/NPS, Gateway National Recreation Area",,"No","GATE",,,"www.nps.gov/gate",,,,"http://usfsc.grscicoll.org/cool/8it5-vyc1","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","210 New York Avenue",,,"Staten Island","NY","10305","USA",,,,,,,,,,"24642",,,,,
"24868","Yes","30 June 2016 - 10:12am EDT","8 July 2016 - 10:37am EDT","http://usfsc.grscicoll.org/institution/doinps-salem-maritime-national-historic-site","DOI/NPS, Salem Maritime National Historic Site",,"No","SAMA",,,"www.nps.gov/sama",,,,"http://usfsc.grscicoll.org/cool/bwam-711d","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","160 Derby Street",,,"Salem","MA","01970","USA",,,,,,,,,,"24642",,,,,
"24869","Yes","30 June 2016 - 10:21am EDT","30 June 2016 - 12:36pm EDT","http://usfsc.grscicoll.org/institution/doinps-saint-pauls-church-national-historic-site","DOI/NPS, Saint Paul's Church National Historic Site",,"No","SAPA",,,"www.nps.gov/sapa",,,,"http://usfsc.grscicoll.org/cool/rnm4-89dj","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","897 South Columbus Avenue",,,"Mount Vernon","NY","10550","USA",,,,,,,,,,"24642",,,,,
"24870","Yes","30 June 2016 - 10:23am EDT","30 June 2016 - 12:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-saratoga-national-historical-park","DOI/NPS, Saratoga National Historical Park",,"No","SARA",,,"www.nps.gov/sara",,,,"http://usfsc.grscicoll.org/cool/ss7h-3aec","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","648 Route 32",,,"Stillwater","NY","12170","USA",,,,,,,,,,"24642",,,,,
"24871","Yes","30 June 2016 - 10:25am EDT","30 June 2016 - 12:35pm EDT","http://usfsc.grscicoll.org/institution/doinps-shenandoah-national-park","DOI/NPS, Shenandoah National Park",,"No","SHEN",,,"www.nps.gov/shen",,,,"http://usfsc.grscicoll.org/cool/g955-gbkr","Yes","Public, Federal: General",,"Secondary Contact:  Sara Wolf, Regional Curator, Northeast Region  sara_wolf@nps.gov  617-242-5613 ex.6213 (phone)  617-242-1833 (fax)","3655 US Highway 211 East",,,"Luray","VA","22835","USA",,,,,,,,,,"24642",,,,,
