"nid","published","created","changed","URL","Collection Name","NK Import ID","Institution Name","Institutional Code/Acronym","Collection Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status (Yes=Institutional, No=Project)","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","Status of Collection: Active?","LSID"
"25150","Yes","5 August 2016 - 4:03pm EDT","26 September 2016 - 2:10pm EDT","http://usfsc.grscicoll.org/institutional-collection/united-states-potato-genebank","United States Potato Genebank",,"25113",,"NR6","http://www.ars-grin.gov/nr6/index.html","https://npgsweb.ars-grin.gov/gringlobal/site.aspx?id=29",,"The mission of the NRSP-6 Potato Genebank is to facilitate improvements in the potato of the future by promoting the use of valuable exotic genes found in wild potato germplasm. Small tubers are typical of wild potato species, but they represent a veritable treasure chest of genetic diversity for potentially useful traits that may someday be bred into new varieties. These new varieties must be able to overcome the challenges of pests and stresses with less dependence on chemical fertilizers, insecticides and fungicides. NRSP-6 is doing this through a 5-fold approach: Acquisition, Classification, Preservation, Evaluation and Distribution of potato germplasm.   ARS scientists at the Potato Introduction Station maintain a collection of true seeds, in-vitro stocks, and tubers of wild and cultivated potato (Solanum, section Petota). The collection includes 5,932 germplasm accessions of 92 species of the potato and 14,270 herbarium sheets. The collection has about 75 percent of the wild species and is actively incorporating more. Resources are used by a variety of scientific disciplines from physiology to entomology to taxonomy, but its primary use is by potato breeders to incorporate resistances to diseases and pests that affect the cultivated potato crop, and for agronomic improvements in appearance, flavor, and yield. The genebank takes a five-fold approach of introduction, classification, preservation, evaluation, and distribution of potato germplasm. In addition, duplicate herbarium specimens can be loaned to recognized institutions and scientists upon request. This collection is part of the US National Plant Germplasm System.  See also https://npgsweb.ars-grin.gov/gringlobal/search.aspx for the comprehensive GRIN digital catalog.","Biological: Living organisms","Storage Environment: Ambient controlled (indoors)","Yes","USDA/ARS, Vegetable Crops Research Unit","4312 Hwy 42",,"Sturgeon Bay","Wisconsin","54235","USA",,,,,,,,"9962","Yes",
"25154","Yes","8 August 2016 - 10:12am EDT","26 September 2016 - 2:09pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-cotton-germplasm-collection","National Cotton Germplasm Collection",,"25113",,"COT","http://www.ars-grin.gov/npgs/sitelist.html","https://www.cottongen.org/",,"The National Cotton Germplasm Collection maintains collections of cultivated cottons and several thousand accessions of their wild relatives. This collection is part of the U.S. National Plant Germplasm System.  Link to additional information about the purpose and methods of the collection.  A document showing a past inventory of the collection, as well as more information on cotton     A 2016 initiative is underway to digitize the collection. Cottongen.org collects the resulting data.     See also https://npgsweb.ars-grin.gov/gringlobal/search.aspx for the comprehensive GRIN online catalog.","Biological: Living organisms","Storage Environment: Ambient uncontrolled (outdoors)","Yes","USDA/ARS, Crop Germpasm Research Unit (Southern Plains Agricultural Research Center)","Southern Plains Agricultural Research Center","2881 F&B Road","College Station","Texas","77845","USA",,,,,,,,"25153","Yes",
"25155","Yes","8 August 2016 - 11:09am EDT","22 August 2016 - 12:36pm EDT","http://usfsc.grscicoll.org/institutional-collection/cooperative-dairy-dna-repository-cddr","Cooperative Dairy DNA Repository ( CDDR )",,"25107",,"CDDR","http://www.ars.usda.gov/News/docs.htm?docid=1843",,,"The Cooperative Dairy DNA Repository (CDDR) is a collection of DNA from contemporary dairy cattle families used as a genetic resource to characterize new and previously identified quantitative trait loci (QTLs) and estimate allelic effects across families.","Biological: Cells, tissue (non-human)","Storage Environment: Frozen (-20)","No","USDA/ARS, Animal Genomics and Improvement Laboratory","10300 BALTIMORE AVENUE BLDG 005 BARC-WEST",,"Beltsville","MD","20705-2350","USA","USDA/ARS, Animal Genomics and Improvement Laboratory","10300 BALTIMORE AVENUE BLDG 200 BARC-EAST",,"Beltsville","MD","20705-2350","USA","25106","Yes",
"25160","Yes","8 August 2016 - 1:15pm EDT","10 August 2016 - 9:29am EDT","http://usfsc.grscicoll.org/institutional-collection/aphid-biotype-and-natural-enemy-collection","Aphid Biotype and Natural Enemy Collection",,"25159",,"ABNEC",,,,"The Wheat, Peanut, and Other Field Crops Research Unit maintains a collection of over 100,000 specimens of aphid biotypes and natural enemies of aphids.  This collection also includes a frozen collection of over 10,000 biotypes of aphids and over 100 species of natural enemies of aphids.  This collection is available to external researchers as a reference library for aphid and natural enemy research.","Biological: Living organisms","Storage Environment: Frozen (-20)","No","USDA/ARS, Wheat, Peanut and Other Field Crops Research Unit",,"1301 N. Western Road","Stillwater","Oklahoma","74075-2714","USA",,,,,,,,"25158","Yes",
"25162","Yes","8 August 2016 - 1:34pm EDT","30 March 2018 - 1:37pm EDT","http://usfsc.grscicoll.org/institutional-collection/usda-soybean-germplasm-collection","USDA Soybean Germplasm Collection",,"25113",,"SOY","http://www.ars.usda.gov/Main/site_main.htm?docid=3239","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The USDA Soybean Germplasm Collection maintains 21,810 accessions of the genus Glycine, with 21 species. The majority of these (19,626 accessions) are the cultivated soybean, Glycine max, and the remainder are 1179  wild soybean, Glycine soja, and 1005 accessions of 19 perennial Glycine species. This collection is part of the U.S. National Plant Germplasm System.   Accessions By Site: https://npgsweb.ars-grin.gov/gringlobal/query/accessionsbysite.aspx","Biological: Living organisms","Storage Environment: Other (please define)","Yes","USDA/ARS, Soybean/Maize Germplasm, Pathology, and Genetics Research Unit","1101 West Peabody Dr.","Rm 180, National Soybean Research Center","Urbana","Illinois","61801","USA",,,,,,,,"25161","Yes",
"25164","Yes","8 August 2016 - 1:40pm EDT","26 September 2016 - 2:08pm EDT","http://usfsc.grscicoll.org/institutional-collection/plant-genetic-resources-conservation-unit-germplasm-collection","Plant Genetic Resources Conservation Unit Germplasm Collection",,"25113",,"S9","http://www.ars.usda.gov/main/site_main.htm?modecode=60-46-05-00","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The Plant Genetic Resources Conservation Unit (Griffin, Georgia) maintains collections of annual clover, bambara groundnut, bamboo, castor, eggplant, grass (warm season), guar, hibiscus, okra, peanuts, peppers, pearl millet, gourds, legume, luffa, sesame, sorghum, sweet potato, vigna, watermelon, and wingbean. Located on the Griffin Campus of the University of Georgia, College of Agricultural and Environmental Sciences, the PGRCU is one of four regional plant introduction stations and is also known as Multistate Research Project S-009 and the Southeran Regional Plant Introduction Station. The PGRCU is charged with the responsibility to acquire, characterize, maintain, evaluate, document, and distribute genetic resources of agronomic and horticultural crops. Objectives include conserving genetic resources and associated information for a broad spectrum of crops and related species; developing and applying new or improved evaluation procedures and marker-based approaches to assess diversity of genetic resources in the collections and evaluate materials for useful traits; and transferring technology to researchers and plant breeders in the Southern Region and worldwide in the form of plant genetic resources and associated information. This collection is part of the U.S. National Plant Germplasm System.   Accessions By Site: https://npgsweb.ars-grin.gov/gringlobal/query/accessionsbysite.aspx","Biological: Living organisms",,"Yes","USDA/ARS, Plant Genetic Resources Conservation Unit","1109 Experiment Street",,"Griffin","Georgia","30223-1731","USA",,,,,,,,"25163","Yes",
"25166","Yes","8 August 2016 - 1:47pm EDT","29 August 2016 - 4:26pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-small-grains-collection","National Small Grains Collection",,"25113",,"NSGC","http://www.ars.usda.gov/main/docs.htm?docid=2884","https://npgsweb.ars-grin.gov/gringlobal/search.aspx?",,"The National Small Grains Collection (NSGC) is a component of the National Plant Germplasm System (NPGS) of the United States Department of Agriculture - Agricultural Research Service (USDA-ARS). The NSGC is an active germplasm collection (or genebank) that maintains collections representing global diversity of the small grains; including wheat (Triticum), barley (Hordeum), oat (Avena), rice (Oryza), rye (Secale), triticale (X Triticosecale), and various wild relatives (including Aegilops).  	  	History. The beginnings of the small grains germplasm collections date to about 1897 with the organization of the Seed and Plant Introduction Office. As the result of numerous plant explorations and seed exchanges, the individual collections of the small grains began to accumulate. They were maintained for the first half of the 20th century by Cereal Investigators in the USDA-Bureau of Plant Industry (eventually to become USDA-ARS). The NSGC was officially organized in 1948 at the Beltsville Agricultural Research Center, Beltsville, Maryland. It was moved to its present location at Aberdeen in October, 1988.  	  	Distribution. The NSGC freely distributes seed to scientists worldwide. Passport and evaluation data are maintained on the Germplasm Resources Information Network (GRIN) -- seed requests may be placed directly on-line.  	  	Seed available for distribution is a limited resource. The quantity of seed distributed is hopefully sufficient to conduct the intended research. If additional seed is required, the recipient is urged to grow and reproduce the seed. Repeated requests for seed of the same accession will not be honored. Thank you for your understanding.    	     	This collection is part of the US National Plant Germplasm System.","Biological: Living organisms",,"Yes","USDA/ARS, Small Grains and Potato Germplasm Research","1691 S. 2700 W.",,"Aberdeen","Idaho","83210","USA",,,,,,,,"25165","Yes",
"25168","Yes","8 August 2016 - 1:54pm EDT","25 August 2016 - 4:12pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-lab-genetic-resources-preservation-collection","National Lab for Genetic Resources Preservation Collection",,"25113",,"NSSL",,"https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The National Lab for Genetic Resources Preservation (NLGRP) ( Formerly National Center for Genetic Resources Preservation) conserves genetic resources of crops and animals important to U.S. agriculture and landscapes. Genetic resources from this collection are used for the conservation of biological diversity and utilization of genetic resources for economic and environmental sustainability. In addition to being a seed bank, NLGRP is a repository for animal genetic resources in the form of semen, and plant genetic resources in the form of graftable buds or in vitro plantlets. Genetic resources are often preserved using cyropreservation technologies.  This collection is part of the U.S. National Plant Germplasm System.","Biological: Living organisms","Sample Treatment: Cryopreserved","Yes","USDA/ARS, National Lab for Genetic Resources Preservation (NLGRP, Formerly National Center for Genetic Resources Preservation)","Center for Agricultural Resources Research","1111 South Mason Street","Fort Collins","Colorado","80521-4500","USA",,,,,,,,"25167","Yes",
"25170","Yes","8 August 2016 - 2:23pm EDT","26 September 2016 - 2:23pm EDT","http://usfsc.grscicoll.org/institutional-collection/ornamental-plant-germplasm-collection","Ornamental Plant Germplasm Collection",,"25113",,"OPGC","http://opgc.osu.edu/","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The Ornamental Plant Germplasm Center (OPGC) is part of the National Plant Germplasm System, a network of organizations and people dedicated to preserving the genetic diversity of crop plants.  	  	The OPGC is a joint effort of the USDA-ARS and The Ohio State University&#39;s Department of Horticulture and Crop Science. Financial support is provided through the Floriculture and Nursery Research Initiative of the ARS. Our goals are to acquire, document, maintain, characterize and distribute herbaceous ornamental genetic resources and associated information for conservation, and to enhance scientific research as well as the floriculture and nursery industry.     	This collection is part of the U.S. National Plant Germplasm System.    	Secondary contact information:    	 Pablo Jourdan    	 jourdan.1@osu.edu","Biological: Living organisms",,"Yes","USDA/ARS, Ornamental Plant Germplasm Center","Ohio State University, Ornamental Plant Germplasm Center","670 Vernon Tharp Street","Columbus","Ohio","43210-1086","USA",,,,,,,,"25169","Yes",
"25173","Yes","9 August 2016 - 11:15am EDT","26 September 2016 - 2:07pm EDT","http://usfsc.grscicoll.org/institutional-collection/western-regional-plant-introduction-station-collection","Western Regional Plant Introduction Station Collection",,"25113",,"W6","http://www.ars.usda.gov/Main/docs.htm?docid=6637","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The Western Regional Plant Introduction Station (WRPIS) has the responsibility of maintaining seed and clonal germplasm of over 2,600 plant species from 376 genera. The station was established in 1952 with the initial mission to acquire new plant germplasm and establish a maintenance program. Subsequently, germplasm conservation and research programs developed in the disciplines of horticulture, agronomy, genetics, plant pathology, and entomology. Primary facilities are located on the campus of Washington State University, and sister programs include the National Temperate Forage Legume Genetic Resources Unit in Prosser, Washington, and the National Arid Land Plant Genetic Resources Unit in Parlier, California. Recently, WRPIS has been involved in preserving collections of special genetic stocks and developing core subsets of the larger collections.  	   Sub-collections include:     	  		Medicago truncatula Germplasm Collection:    The first NPGS M. truncatula accession was received in 1950, when a commercial strain and 9 unimproved samples were received from J.R.A. McMillan from the University of Sydney, New South Wales, Australia. Currently, the collection includes 387 available ecotypes of M. truncatula, originating from 22 countries. Over 50% of the accessions were collected in Algeria, Morocco and Tunisia. A collaborative collection effort was carried out in 1973 in Morocco by I. Forbes, of the United States Department of Agriculture and J.S. Gladstones of the Australian Department of Agriculture. W. Graves, of the University of California also made extensive contributions from collections in Morocco and Tunisia in the early 1980s. Approximately 55% of the collection was received in the late 1980&rsquo;s, when the NPGS inherited the germplasm collection of the late Canadian taxonomist, Dr. Karl A. Lesins. Most of the accessions (80% of collection total) in the M. truncatula collection are unimproved or wild germplasm. Another 15-20% of the collection is either cultivars or breeding materials. A large portion of the cultivated germplasm has been obtained from ex situ germplasm collection in Australia. The collection is being strategically and actively expanded to include important genetic stocks that are being developed by the genomics community. To find additional information regarding the accessions in the M. truncatula collection the Germplasm Resources Information Network (GRIN-Global) database can be queried.       	  		Pisum Genetic Stock Collection:    This collection of genetic stocks of Pisum sativum is the legacy of the late Dr. Gerald A. Marx, formerly of Cornell University. Throughout his career, Dr. Marx amassed some 80,000 seed packets, most of which have genotype data and other comments written on them. Shortly before his death, Dr. Marx contracted with the United States Department of Agriculture to preserve a subset of his holdings in perpetuity, as a special collection in the National Plant Germplasm System. Dr. Marx, along with several other pea geneticists, extracted the accessions of his collection that best demonstrate mutations in this species, and the interaction of these mutations.  	  	This collection is now maintained at the Western Regional Plant Introduction Station, located on the campus of Washington State University, in Pullman, Washington. The accessions are regenerated, evaluated, and stored at the Pullman station, and are freely available for distribution to anyone with a bona fide research, development, or educational interest.  	  	Over one hundred defined mutations are represented in this collection, in a set of approximately five hundred accessions. While the great majority of these accessions are the direct product of Dr. Marx&#39; program, new accessions from others are welcome additions to this collection if they represent new mutations, or genotypes with combinations of genes that are of particular interest.       	  		Phaseolus Germplasm Collection : Secondary contact - Ted Kisha, tkisha@wsu.edu; Phone: 509-335-6898         	  		Safflower Genetic Resources    Safflower (Carthamus tinctorius L.) is an ancient crop with many uses. Traditionally it was grown for its flowers, which are used as a dye, for food coloring, flavoring, and for medicinal purposes. Seeds are now the major use, producing bird feed and a high quality edible and industrial oil. Potential, expanded uses include production of transgenic pharmaceuticals, as a biofuel, and for specialty oil types to improve human diet.  	  	The Western Regional Plant Introduction Station (WRPIS) at Pullman maintains the USDA national collection of safflower germplasm, which currently includes more than 2300 accessions. These accessions, representing germplasm from more than 50 countries, are available without charge to scientists upon request.       	  		National Temperate Forage Legume Genetic Resources Unit    The USDA National Plant Germplasm System&rsquo;s temperate forage legume germplasm is managed by a team of scientists, technicians and support personnel of the Western Regional Plant Introduction Station in Pullman, WA. Germplasm seed is stored and distributed from the station&rsquo;s home on Washington State University (WSU)&rsquo;s main campus in Pullman, WA. All regeneration, characterization and evaluation efforts are carried out at the worksite in Prosser, WA, collocated with WSU&rsquo;s Irrigated Agriculture Research and Extension Center. The project&rsquo;s mission is to develop a conservation program to help reduce the shrinking reservoir of biodiversity in forage legumes, crops such as alfalfa and clover that are important feed for livestock, particularly dairy animals.  	  	Guided by the principles of conservation genetics, day-to-day activities focus on acquiring, maintaining, characterizing, evaluating, documenting and distributing a wide range of diverse germplasm. Diversity in the collections include crop wild relatives closely related to alfalfa, clover and trefoil to primitive farmer and heirloom varieties as well as more modern varieties obtained from around the world.      The Western Regional Plant Introduction Station Collection is part of the U.S. National Plant Germplasm System.","Biological: Living organisms",,"Yes","USDA/ARS, Plant Germplasm Introduction and Testing Research Unit","59 JOHNSON HALL, WSU",,"Pullman","Washington","99164-6402","USA",,,,,,,,"25126","Yes",
"25175","Yes","9 August 2016 - 12:17pm EDT","10 August 2016 - 9:24am EDT","http://usfsc.grscicoll.org/institutional-collection/disease-resistant-and-susceptible-live-chicken-lines","Disease Resistant and Susceptible Live Chicken Lines",,"25157",,"ADOL-LCL",,,,"Researchers at the Avian Disease and Oncology Laboratory have developed 38 chicken lines selected for resistance and susceptibility to Marek&rsquo;s disease, avian leucosis, and reticuloendotheliosis. Of these, 15 congenic lines are unique throughout the world and are used to study disease. Eggs from these lines have been distributed to researchers internationally.  Semen from these lines is available through NAGP.","Biological: Living organisms","Storage Environment: Ambient controlled (indoors)","Yes","USDA/ARS, Avian Disease and Oncology Laboratory","4279 E. MT HOPE RD",,"EAST LANSING","MI","48823","USA",,,,,,,,"25174","Yes",
"25176","Yes","9 August 2016 - 2:00pm EDT","29 August 2016 - 4:26pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-clonal-germplasm-repository-davis-california","National Clonal Germplasm Repository (Davis, California)",,"25113",,"DAV","http://www.ars.usda.gov/main/site_main.htm?modecode=20-32-10-00","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The National Clonal Repository in Davis maintains figs, grapes, kiwis, mulberries, olives, persimmons, pistachios, pomegranates, various Prunus crops (peaches, cherries, almonds, apricots, plums), and walnuts. Most of the plants in the collections are maintained through vegetative propagation (by rooting cuttings or budding onto rootstocks) to preserve their unique traits. The plants in the collections are grown in greenhouses, screen houses, and as field plantings.    	     	Alternate Contacts:     	Carolyn Debuse (Horticulturist)    	carolyn.debuse@ars.usda.gov  	  		530-754-7815  	  		   	  		Bernard Prins (Horticulturist)  	  		Bernard.Prins@ars.usda.gov  	  		530-752-6509","Biological: Living organisms",,"Yes","USDA/ARS, National Clonal Germplasm Repository","University of California, Straloch Road",,"Davis","California","95616","USA",,,,,,,,"25131","Yes",
"25178","Yes","9 August 2016 - 2:54pm EDT","29 August 2016 - 4:26pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-clonal-germplasm-repository-corvallis-oregon","National Clonal Germplasm Repository (Corvallis, Oregon)",,"25113",,"COR","http://www.ars.usda.gov/Main/site_main.htm?modecode=20-72-15-00","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"NCGR Corvallis is a national genebank for invaluable clonal plant resources. The objectives of the unit are to collect, maintain, distribute, evaluate, and document global genetic resources of hazelnuts, strawberries, hops, mint, pears, currants, gooseberries, raspberries, blackberries, blueberries, cranberries, lingonberries and their crop wild relatives. Besides the strong primary service component of plant conservation and distribution, the research effort adheres closely to the practical problems of germplasm storage, maintenance, tissue culture, virus and disease testing and elimination, identity verification, molecular and morphological germplasm evaluation, and seed and clonal propagation techniques to increase knowledge based on scientific processes and principles. This genebank preserves diverse living plant collections for all people for all time.    	Sub-collections:     	  		National Clonal Germplasm Repository for Temperate Fruit, Nut, and Specialty Crops Collection (Secondary contact: Joseph Postman, joseph.postman@ars.usda.gov) Major historic collection - over 100 years in age. 10000, 10,000 sq. ft. office, 10,000 sq. ft. greenhouse, 20,000 sq. ft. screen house, and 50 acres of field.        	  		NCGR-Corvallis Berries, Hops, Mint Collection (Secondary contact: Randall Nelson, randall.nelson@ars.usda.gov)      	     	This collection is part of the U.S. National Plant Germplasm System.","Biological: Living organisms",,"Yes","USDA/ARS, National Clonal Germplasm Repository","33447 Peoria Road",,"Corvallis","Oregon","97333-2521","USA",,,,,,,,"25177","Yes",
"25179","Yes","9 August 2016 - 3:12pm EDT","12 September 2016 - 4:39pm EDT","http://usfsc.grscicoll.org/institutional-collection/northcentral-regional-plant-introduction-station-germplasm-collection","Northcentral Regional Plant Introduction Station Germplasm Collection",,"25113",,"NC7","http://www.ars.usda.gov/main/site_main.htm?modecode=50-30-10-00","http://www.ars.usda.gov/Main/Docs.htm?docid=24765",,"The North Central Regional Plant Introduction Station (NCRPIS) maintains collections of amaranths, Brassica, cucumbers, melons, Cuphea, carrot, flax, grasses, sunflowers, ornamentals, umbels, and corn. The station was founded in 1948, and is a joint venture among ARS&rsquo; Plant Introduction Research Unit, the Agricultural Experiment Stations of the 12 North Central States, and Iowa State University. The NCRPIS mission is to conserve genetically diverse crop germplasm and associated information, conduct germplasm-related research, and encourage the use of germplasm and associated information for research, crop improvement and product development.    	This collection is part of the U.S. National Plan Germplasm System.    	     	Accessions By Site: https://npgsweb.ars-grin.gov/gringlobal/query/accessionsbysite.aspx    	     	     	Alternate contacts:     	David Brenner (Curator II, amaranth &amp; misc)     	dbrenner@iastate.edu    	515-294-6786    	     	Laura Marek (Curator III, oilseed crops)    	lmarek@iastate.edu    	515-294-3519    	     	Mark Millard (Geneticist, maize)    	mark.millard@ars.usda.gov    	515-294-3715    	     	Kathy Reitsma (Curator III, vegetables)    	kreitsma@iastate.edu    	515-294-3212    	     	Jeffrey D. Carstens (Natural Science Research Technician, ornamentals)    	jeffrey.carstens@ars.usda.gov    	515-294-3454","Biological: Living organisms",,"Yes","USDA/ARS, Northcentral Regional Plant Introduction Station (NCRPIS), Plant Introduction Research","Iowa State University, Regional Plant Introduction Station","G212 Agronomy Hall","Ames","Iowa","50011-1170","USA",,,,,,,,"2813","Yes",
"25181","Yes","9 August 2016 - 3:26pm EDT","26 September 2016 - 2:17pm EDT","http://usfsc.grscicoll.org/institutional-collection/northeast-regional-plant-introduction-station-collection","Northeast Regional Plant Introduction Station Collection",,"25113",,"NE9","http://www.ars.usda.gov/Main/docs.htm?docid=10013","https://npgsweb.ars-grin.gov/gringlobal/search.aspx",,"The Northeast Regional Plant Introduction Station maintains approximately 20,000 different accessions, representing over 300 species of crops and their wild relatives. Major collections include: tomato, onion, broccoli, cauliflower, cabbage, asparagus, tomatillo, ground cherry, winter squash, radish, buckwheat, apple, grape, and tart cherry. The ARS location at Geneva, New York, consists of two research units: Plant Genetic Resources Unit  (PGRU) and Grape Genetics Research Unit. The facility is located on the Geneva, NY campus of Cornell University. ARS and Cornell have had a mutually beneficial working relationship for many years. The PGRU was formed in 1986 by merging the Northeast Regional Plant Introduction Station (NERPIS) and the National Clonal Germplasm Repository for apple, grape, and tart cherry (NGR). PGRU also conducts breeding of apple rootstock. The mission of the Plant Genetic Resources Unit is to acquire, maintain, characterize, and distribute plant genetic resources of selected fruit and vegetable crops, including apple, grape, onion, tomato, and vegetable Brassica crops, and to develop new precocious and productive apple rootstocks resistant to pests, diseases, and environmental stresses.      	This collection is part of the US National Plant Germplasm System    	     	Alternate contacts:    	     	C. Thomas Chao (Horticulturist; apple, grape)    	c.thomas.chao@ars.usda.gov     	(315) 787-2454    	     	Joanne Labate (Molecular Biologist, Vegetable Crops)    	joanne.labate@ars.usda.gov     	(315)787-2438","Biological: Living organisms","Storage Environment: Ambient uncontrolled (outdoors)","Yes","USDA/ARS, Northeast Regional Plant Introduction Station (NERPIS), Plant Genetics Resources","630 W. North Street",,"Geneva","New York","14456-0462","USA",,,,,,,,"25180","Yes",
"25185","Yes","10 August 2016 - 11:44am EDT","25 August 2016 - 4:12pm EDT","http://usfsc.grscicoll.org/institutional-collection/avian-viruses-collection","Avian Viruses Collection",,"25157",,"AVC",,,,"The Avian Disease and Oncology Laboratory maintains approximately 60 strains of Marek&rsquo;s disease and avian retroviruses from poultry and other avian species collected primarily from the United States. These viruses have been used to develop and validate diagnostics including Polymerase Chain Reactions (PCR) and reverse transcription PCR (RT PCR), to develop new vaccines for Marek&rsquo;s disease, and to conduct basic studies on molecular characteristics and gene function of avian tumor viruses.   Using this collection, the ARS developed overlapping cosmid clone and Bacterial Artificial Chromosome (BAC) technologies that allowed studies on gene function of Marek&rsquo;s disease virus through gene deletion. The ARS also developed monoclonal antibodies against Marek&rsquo;s disease, avian leukosis and reticuloendotheliosis viruses. In addition, the ARS developed a more sensitive and specific test (cell culture-enzyme-linked immunosorbent assay (ELISA)) for detection of avian leukosis virus, which is now the official test used by the USDA APHIS Center for Veterinary Biologics for screening live-virus poultry vaccines for avian leukosis virus contamination.   This ARS collection of monoclonal antibodies is considered a unique source of these important reagents and has been widely used by scientists in industry, government and academia for specific diagnosis of avian tumor viruses.",,,"No","USDA/ARS, Avian Disease and Oncology Laboratory",,"4279 East Mount Hope Road","East Lansing","Michigan","48823","USA",,,,,,,,"25184","Yes",
"25186","Yes","10 August 2016 - 11:52am EDT","22 August 2016 - 12:37pm EDT","http://usfsc.grscicoll.org/institutional-collection/biological-control-research-insect-collection","Biological Control Research Insect Collection",,"25084",,"BCRIC",,,,"The Agricultiural Research Service (ARS) scientists at the Stored Product Insect and Engineering Research Unit maintain a collection of 39 species of insects, including over 550 strains of the red flour beetle. Used to support ARS research, this collection is noteworthy for the comprehensiveness of its accessions, particularly for those of the beetle.",,,"No","USDA/ARS, Stored Product Insect and Engineering Research Unit","Center for Grain & Animal Health Research","1515 College Avenue","Manhattan","Kansas","66502","USA",,,,,,,,"25083","Yes",
"25192","Yes","10 August 2016 - 1:04pm EDT","22 August 2016 - 3:40pm EDT","http://usfsc.grscicoll.org/institutional-collection/nadc-virus-collection","NADC Virus Collection",,"25190",,"NADCVC",,,,"The National Animal Disease Center (NADC) maintains collections of several types of viruses, held as working research and archival collections that affect various animals. Accessions include 1,100 strains of the Bovine Viral Diarrhea Virus (BVDV) isolated between 1964 and 2006. In addition, NADC maintains influenza virus strains representing the major subtypes circulating in U.S. swine as well as novel emergent subtypes.",,,"No","USDA/ARS, National Animal Disease Center","P.O Box 70","1920 Dayton Avenue","Ames","Iowa","50010","USA",,,,,,,,"25189","Yes",
"25193","Yes","10 August 2016 - 1:17pm EDT","22 August 2016 - 12:37pm EDT","http://usfsc.grscicoll.org/institutional-collection/breeding-collection","Breeding Collection",,"25195",,"BC",,,,"The breeding material used in the Floral and Nursery Plant Research Unit&#39;s research.  Sub-collections:    	  		Petunia Collection:    The collection consists of over 50 distinct taxa/genotypes. The collection serves as a research tool for classical breeding, molecular breeding, physiological studies, and genetic mapping. Germplasm from this collection has been used to create commercially successful cultivars, and also serves as a source of &ldquo;standard&rdquo; petunia genotypes for scientific genetic/physiological studies throughout the world.     	  		Prunus Collection:    The collection consists of over 30 distinct taxa/genotypes. The collection serves as a research tool for classical breeding, molecular breeding, physiological studies, and genetic mapping. Germplasm from this collection has been used to create commercially successful cultivars.     	  		Cercis Collection  	  		  			Lagerstroemia Collection","Biological: Living organisms","Storage Environment: Ambient uncontrolled (outdoors)","No","USDA/ARS, Floral and Nursery Plants Research","US National Arboretum","3501 NEW YORK AVENUE, NE.","Washington","DC","20002-1958","USA",,,,,,,,"25239","Yes",
"25194","Yes","10 August 2016 - 1:21pm EDT","11 August 2016 - 3:05pm EDT","http://usfsc.grscicoll.org/institutional-collection/living-collection-grounds-us-national-arboretum","Living Collection on Grounds of U.S. National Arboretum",,"25229",,"LCG-NA",,,,,,,"Yes","USDA/ARS, Gardens Unit","US National Arboretum","3501 NEW YORK AVENUE, NE.","Washington","DC","20002-1958","USA",,,,,,,,"25188","Yes",
"25196","Yes","10 August 2016 - 1:44pm EDT","15 August 2016 - 2:06pm EDT","http://usfsc.grscicoll.org/institutional-collection/us-national-seed-herbarium","US National Seed Herbarium",,"25195",,"NSH",,,,"The U.S. National Seed Herbarium is the world&rsquo;s largest taxonomic seed collection, providing research material and rapid identifications of isolated seeds and fruits of economically important plants. The collection contains 120,000 seed and fruit samples of 390 families, 13,000 genera, and 27,000 species. Materials from the collection are used for almost 5,000 identifications of specimens each year as well as to support ARS research and documentation efforts. Information about the collection, including passport, taxonomy, description, and other data, is available on the Internet through the GRIN database.","Biological: Plant-derived (bark, pollen, phytoliths, etc.)",,"Yes","USDA/ARS, Floral and Nursery Plant Research","US National Arboretum","3501 NEW YORK AVENUE, NE.","Washington","DC","20002-1958","USA",,,,,,,,"23310","Yes",
